Country Name,Country Code,Indicator Name,2019
Aruba,ABW,"Population, total",106314
Afghanistan,AFG,"Population, total",38041754
Angola,AGO,"Population, total",31825295
Albania,ALB,"Population, total",2854191
Andorra,AND,"Population, total",77142
Arab World,ARB,"Population, total",427870270
United Arab Emirates,ARE,"Population, total",9770529
Argentina,ARG,"Population, total",44938712
Armenia,ARM,"Population, total",2957731
American Samoa,ASM,"Population, total",55312
Antigua and Barbuda,ATG,"Population, total",97118
Australia,AUS,"Population, total",25364307
Austria,AUT,"Population, total",8877067
Azerbaijan,AZE,"Population, total",10023318
Burundi,BDI,"Population, total",11530580
Belgium,BEL,"Population, total",11484055
Benin,BEN,"Population, total",11801151
Burkina Faso,BFA,"Population, total",20321378
Bangladesh,BGD,"Population, total",163046161
Bulgaria,BGR,"Population, total",6975761
Bahrain,BHR,"Population, total",1641172
"Bahamas, The",BHS,"Population, total",389482
Bosnia and Herzegovina,BIH,"Population, total",3301000
Belarus,BLR,"Population, total",9466856
Belize,BLZ,"Population, total",390353
Bermuda,BMU,"Population, total",63918
Bolivia,BOL,"Population, total",11513100
Brazil,BRA,"Population, total",211049527
Barbados,BRB,"Population, total",287025
Brunei Darussalam,BRN,"Population, total",433285
Bhutan,BTN,"Population, total",763092
Botswana,BWA,"Population, total",2303697
Central African Republic,CAF,"Population, total",4745185
Canada,CAN,"Population, total",37589262
Central Europe and the Baltics,CEB,"Population, total",102378579
Switzerland,CHE,"Population, total",8574832
Channel Islands,CHI,"Population, total",172259
Chile,CHL,"Population, total",18952038
China,CHN,"Population, total",1397715000
Cote d'Ivoire,CIV,"Population, total",25716544
Cameroon,CMR,"Population, total",25876380
"Congo, Dem. Rep.",COD,"Population, total",86790567
"Congo, Rep.",COG,"Population, total",5380508
Colombia,COL,"Population, total",50339443
Comoros,COM,"Population, total",850886
Cabo Verde,CPV,"Population, total",549935
Costa Rica,CRI,"Population, total",5047561
Caribbean small states,CSS,"Population, total",7401381
Cuba,CUB,"Population, total",11333483
Curacao,CUW,"Population, total",157538
Cayman Islands,CYM,"Population, total",64948
Cyprus,CYP,"Population, total",1198575
Czech Republic,CZE,"Population, total",10669709
Germany,DEU,"Population, total",83132799
Djibouti,DJI,"Population, total",973560
Dominica,DMA,"Population, total",71808
Denmark,DNK,"Population, total",5818553
Dominican Republic,DOM,"Population, total",10738958
